id,name,nationality
2841,Adrian Serrano,United States
382,Ion Cherdivara,Canada
1616,Rashard Lovelace,United States
2943,Ryan Tobar,United States
3557,Ash Griffiths,England
3567,Felipe Cruz,Brazil
3585,Valentin Moldavsky,Russia
3468,Gavin Kelly,Northern Ireland
3537,Michal Pasternak,Poland
3630,Magomed Magomedkerimov,Russia
5455,Seth Bass,United States
5463,John Cullen,Scotland
177,CM Punk,United States
417,Randy Couture,United States
590,Clay Collard,United States
486,Marloes Coenen,Netherlands
936,Billy Giovanella,United States
2225,Larissa Pacheco,Brazil
681,Brian Davidson,United States
430,Alex Crispin,England
22,Magno Almeida,United States
510,Rafael Carvalho,Brazil
2731,Matt Secor,United States
2949,Kiyoshi Tamura,Japan
751,Damion Douglas,United States
2131,Kurt Osiander,
2018,Jordan Mein,Canada
3129,Joe Warren,United States
3240,Carlos Leal Miranda,Brazil
3511,Jan Jorgensen,United States
3382,Ken Porter,United States
3462,Koji Ando,Japan
5454,Robiel Tesfaldet,United States
5561,Kleber Raimundo Silva,Brazil
7,Shinya Aoki,Japan
747,Geronimo dos Santos,Brazil
276,Tom Breese,England
732,Germaine de Randamie,Netherlands
997,John Gunther,United States
1571,Dean Lister,United States
2396,Brett Rogers,United States
2551,Neil Seery,Ireland
2386,Gideon Ray,United States
2481,Dominick Reyes,United States
2782,Antonio Silva,Brazil
5270,Rudy Schaffroth,United States
836,Travis Fulton,United States
56,Chris Amarante,United States
793,John Paul Elias,United States
2746,Eric Schwartz,United States
1710,Miles McDonald,United States
2708,Donald Sanchez,United States
2714,Raja Shippen,United States
2383,Casey Ryan,United States
3386,Robert Watley,United States
3394,Matthew Frincu,Australia
3458,Ayadi Majdeddine,France
3642,Denniston Sutherland,England
3370,Eric Prindle,United States
3390,Brent Weedman,United States
3638,Andre Luis Leal Lobato,Brazil
3523,Pam Sorenson,United States
3540,Matt Betzold,United States
5480,Jamie Thorton,United States
5477,Peter Stanonik,United States
577,Joachim Christensen,Denmark
722,Jason Dent,United States
615,Cyrille Diabate,France
905,Tony Ferguson,United States
532,Patrick Cummins,United States
277,Jesse Bongfeldt,Canada
1361,Jordan Johnson,United States
1989,Brandon Melendez,United States
1595,Chris Lytle,United States
2857,Gavin Tucker,Canada
2946,Glover Teixeira,Brazil
2417,Rafael Rebello,United States
2475,Luke Rockhold,United States
447,Johnny Cisneros,United States
1489,CJ Keith,United States
1420,Stefan Klever,Holland
1035,Jordan Goodwin,
555,Scott Carson,United States
536,Branko Cikatic,Croatia
2136,Nobuhiro Obiya,Japan
2126,Naoya Ogawa,Japan
761,Pro Escobedo,United States
2528,Jason Sharp,United States
3393,Christian Aguilera,United States
3463,Saul Rogers,England
3646,Owen Roddy,Ireland
3360,Joshua Aveles,United States
3391,Jacob McClintock,United States
3582,Felipe Efrain,Brazil
3418,Sharaf Davlatmurodov,Russia
3470,Giovanni Melillo,Italy
3538,Narantungalag Jadambaa,Mongolia
5542,Nikki Knudsen,United States
5489,Kurt Kinser,United States
19,Alex Andrade,United States
522,Zak Cummings,United States
716,Rodrigo Damm,Brazil
526,Wes Combs,United States
792,Leon Edwards,England
617,Paul Daley,England
170,Charlie Brenneman,United States
172,Stephan Bonnar,United States
259,Chase Beebe,United States
903,Tony Fryklund,United States
1606,Rocky Lee,Taiwan
2592,Jerrod Sanders,United States
2576,Julija Stoliarenko,Lithuania
1110,Michael Graves,United States
1535,Emily Peters Kagan,United States
403,Heather Jo Clark,United States
2408,Polo Reyes,Mexico
2601,Bradley Scott,England
3329,Vyacheslav Vasilevsky,Russia
3484,Chad Hinton,United States
3358,Ronnie Mann,England
686,Mike Dolce,United States
3368,Mark Holata,United States
3383,Matt Manzanares,United States
3583,Yuki Motoya,Japan
1208,Matt Horwich,United States
2432,Alessandro Ricci,Canada
3205,Alex Zuniga,United States
1013,Brandon Gaines,United States
675,Michael Diaz,United States
2008,Chris Mickle,United States
1424,Akira Kikuchi,Japan
1426,Taiei Kin,Japan
2458,Tim Roman,Russia
2438,Jordan Radev,Bulgaria
1646,Kemran Lachinov,United States
2184,Tulio Palhares,Brazil
3421,Dean Garnett,England
3430,Martin Nguyen,Australia
3466,Scott Clist,England
3535,Angela Lee,United States
3613,Ron Humphrey,
5564,Javier Torres,Mexico
5559,Jose Rodriguez,
30,Adlan Amagov,Russia
5271,Charles Williams,United States
517,Derek Campos,United States
1999,Brian McLaughlin,United States
251,Len Bentley,United States
1651,Jae Suk Lim,South Korea
2572,Brendan Seguin,United States
2942,Daiju Takase,Japan
2190,Adam Piccolotti,United States
980,Lucas Gamaza,United States
2758,Nicholas Sergiacomi,United States
3411,Andreas Kraniotakes,Germany
3588,Teodoras Aukstuolis,Lithuania
3447,Aung La N Sang,Myanmar
3634,Kayla Harrison,United States
3531,Tanner Boser,Canada
5550,Jacob Bohn,United States
556,Henry Cejudo,United States
528,Alex Chambers,Australia
810,Julian Erosa,United States
3299,Marcus Surin,United States
3250,Cole Konrad,United States
126,Ricardo Almeida,United States
1363,Montel Jackson,United States
1131,Benson Henderson,United States
1659,Lorenz Larkin,United States
2483,Ronda Rousey,United States
2686,Joe Stevenson,United States
2247,Karo Parisyan,United States
2779,Joby Sanchez,United States
5273,Tyler Ingram,United States
5293,Herbert Goodman,United States
3512,Josue Lugo,United States
1977,Gabriel Miglioli,Brazil
335,Bubba Bush,United States
737,Jorge de Oliveira,BRAZIL
1278,Junior Hernandez,United States
26,Shamil Abdurakhimov,Russia
1367,Myles Jury,United States
2166,Aleksei Oleinik,Ukraine
1964,Pat Miletich,United States
299,Jordan Bailey,United States
1881,Fazlo Mulabitinovic,United States
2402,Hussain Rasouli,United States
1065,Andre Galvao,Brazil
248,Jason Butcher,United States
1447,Ryan Keenan,United States
2077,Danny Navarro,United States
3018,Alejandro Villalobos,Costa Rica
1283,Matt Helm,United States
2801,Paul Song,United States
3580,Vadim Nemkov,Russia
3417,Adilson Ramos,Brazil
3640,Rex Harris,United States
3467,Soren Bak,Denmark
3617,Vladimir Mineev,Russia
3483,Martin Begley,Northern Ireland
5479,Jordan Titoni,United States
571,Priscila Cachoeira,Brazil
502,Carlos Condit,United States
612,Rico DiSciullo,United States
443,Paul Creighton,USA
367,Poliana Botelho,Brazil
5275,Raoul Romero,Mexico
1160,Delson Heleno,Brazil
1249,Mike Hayes,United States
3108,Jonathan Wiezorek,United States
434,Marcos Conrado Jr.,Brazil
1915,Brad Mitchell,United States
1648,Stephen Ledbetter,United States
247,Mack Brewer,United States
1979,Michelle Maher,
2185,Tommy Petersen,United States
3566,Akop Stepanyan,Russia
3429,Marat Gafurov,Russia
3449,Adriano Moraes,Brazil
3618,Evgeniy Ignatiev,Russia
3479,Artemij Sitenkov,Lithuania
5478,Cameron Graves,United States
370,Byron Bloodworth,United States
445,Luke Cummo,United States
1111,Melvin Guillard,United States
1607,Muhammed Lawal,United States
2239,Norman Parke,Northern Ireland
2240,Lucie Pudilova,Czech Republic
2504,Leo Sylvest,United States
2804,Mike Swick,United States
2776,Stefan Struve,Netherlands
2251,Pawel Pawlak,Poland
2538,Austin Springer,United States
2083,Yuji Nagata,Japan
5268,Ryan Walker,United States
1156,Paulo Costa,Brazil
882,Scott Fiedler,United States
872,Patricio Freire,Brazil
1981,Nazareno Malegarie,Argentina
554,Alvin Cacdac,United States
840,Zoila Frausto,United States
786,Lisa Ellis,United States
1844,Melvin Manhoef,Netherlands
2400,Nick Rossborough,United States
3165,John Yoo,United States
1011,Kenny Giddens,United States
1582,Josh LaBerge,United States
2480,Rafael Rios,United States
505,Albert Cheng,Canada
538,Jenna Castillo,United States
1235,Kazuhiro Hamanaka,Japan
2813,Matt Skelton,England
2452,Maria Rios,United States
2922,Alexander Trevino,United States
3471,Mohsen Bahari,Norway
3536,Mei Yamaguchi,Japan
10,Junior Assuncao,Brazil
263,Josh Barnett,United States
340,Paul Buentello,United States
835,Renee Forte,Brazil
189,Anton Berzin,United States
365,Randy Brown,Jamaica
303,Charles Byrd,United States
956,Akihiro Gono,Japan
1464,Kyung Ho Kang,South Korea
3633,Abusupiyan Magomedov,Germany
856,Kevin Ferguson,United States
610,Edilberto de Oliveira,Brazil
1677,Chris Liguori,United States
257,Mayra Bueno Silva,Brazil
1058,Justin Governale,United States
79,Razak Al-Hassan,United States
3104,An Ying Wang,Mongolia
1018,Fabian Gonzalez,United States
3000,Ernie Verdicia,United States
1106,Lee Gibson,United States
1475,David Kaplan,United States
2003,Aaron Miller,United States
1793,Jeremiah Metcalf,United States
1548,Cleber Luciano,United States
2038,Nick Nolte,United States
2016,Keith Mielke,United States
2015,Daniel McWilliams,United States
1893,Jon Koppenhaver,England
2967,Zach Underwood,United States
2959,Torrance Taylor,United States
3169,Han Ten Yun,South Korea
2969,Andy Uhrich,United States
3036,Victor Valenzuela,United States
1576,Douglas Lima,Brazil
1009,Fabricio Guerreiro,Brazil
1421,Brad Kohler,United States
2649,Charon Spain,United States
